msg_size,msg_cnt,remember,time_ns,kernel
64,100,true,60509619045,6.11-rc6-aos-flab
64,1000,true,58524479231,6.11-rc6-aos-flab
64,10000,true,58362948444,6.11-rc6-aos-flab
256,100,true,71917462653,6.11-rc6-aos-flab
256,1000,true,67929646140,6.11-rc6-aos-flab
256,10000,true,60259450358,6.11-rc6-aos-flab
1024,100,true,70067890930,6.11-rc6-aos-flab
1024,1000,true,73037140318,6.11-rc6-aos-flab
1024,10000,true,74912137135,6.11-rc6-aos-flab
8192,100,true,169862875847,6.11-rc6-aos-flab
8192,1000,true,199330107631,6.11-rc6-aos-flab
8192,10000,true,205092248106,6.11-rc6-aos-flab
64,100,false,77869605859,6.11-rc6-aos-flab
64,1000,false,77252849970,6.11-rc6-aos-flab
64,10000,false,77362562906,6.11-rc6-aos-flab
256,100,false,79095774862,6.11-rc6-aos-flab
256,1000,false,78865265528,6.11-rc6-aos-flab
256,10000,false,78854038793,6.11-rc6-aos-flab
1024,100,false,100324927380,6.11-rc6-aos-flab
1024,1000,false,107877897263,6.11-rc6-aos-flab
1024,10000,false,112305666146,6.11-rc6-aos-flab
8192,100,false,193777370397,6.11-rc6-aos-flab
8192,1000,false,245624451964,6.11-rc6-aos-flab
8192,10000,false,235945925034,6.11-rc6-aos-flab
64,100,false,81289932274,6.11-rc6
64,1000,false,76677066720,6.11-rc6
64,10000,false,76672942224,6.11-rc6
256,100,false,92540403465,6.11-rc6
256,1000,false,92355595461,6.11-rc6
256,10000,false,83033932541,6.11-rc6
1024,100,false,95922918827,6.11-rc6
1024,1000,false,89442916913,6.11-rc6
1024,10000,false,98048789955,6.11-rc6
8192,100,false,161432140182,6.11-rc6
8192,1000,false,202924572335,6.11-rc6
8192,10000,false,259911171140,6.11-rc6

